ade;status;serviço;Loja;tipo_x;valor_x;situacao_x;tipo_y;valor_y;situacao_y;seguro;status_aguardandoRetornoDaSeguradora;Numero loja
82473627;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 253,24;Emitida -;;;;134,25;Aguardando Retorno da Seguradora;
82490371;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 204,89;Emitida -;;;;134,25;Aguardando Retorno da Seguradora;
82702457;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 189,65;Emitida -;;;;134,25;Aguardando Retorno da Seguradora;
82798317;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 326,52;Emitida -;;;;134,25;Aguardando Retorno da Seguradora;
82807558;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 402,34;Emitida -;;;;134,25;Aguardando Retorno da Seguradora;
82817228;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 472,61;Emitida -;;;;173,25;Aguardando Retorno da Seguradora;
82720346;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;187,57;Aguardando Retorno da Seguradora;
82724251;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;187,57;Aguardando Retorno da Seguradora;
82731707;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 421,51;Emitida -;;;;191,25;Aguardando Retorno da Seguradora;
82610443;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 255,00;Emitida -;;;;253,8;Aguardando Retorno da Seguradora;
82579137;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.926,00;Emitida -;;;;300;Aguardando Retorno da Seguradora;
82639142;Crédito Enviado;Cartão BMG Card;37400;DOC E;R$ 2.567,60;Emitida -;;;;364,6;Aguardando Retorno da Seguradora;
82785692;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.702,00;Emitida -;;;;383,68;Aguardando Retorno da Seguradora;
82524745;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 4.516,40;Emitida -;;;;397,6;Aguardando Retorno da Seguradora;
82748261;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 3.847,90;Emitida -;;;;397,6;Aguardando Retorno da Seguradora;
82506635;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 4.174,00;Emitida -;;;;447,15;Aguardando Retorno da Seguradora;
82467592;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82473077;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 620,61;Emitida -;;;;;-;
82477713;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 146,43;Emitida -;;;;;-;
82471271;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.166,00;Emitida -;;;;;Cancelado na Consistencia;
82474164;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.124,41;Emitida -;;;;;Cancelado na Consistencia;
82478269;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 972,33;Emitida -;;;;;Cancelado na Consistencia;
82608802;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 289,85;Emitida -;;;;;-;
82768804;Crédito Enviado;Cartão BMG Master;37400;Conta Corrente;R$ 1.741,60;Emitida -;;;;;-;
82513098;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 849,16;Emitida -;;;;;-;
82522259;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.043,97;Emitida -;;;;;Cancelado na Consistencia;
82528896;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.557,80;Emitida -;;;;;-;
82532151;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82544858;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Cancelada -;;;;;-;
82552210;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 331,38;Emitida -;;;;;-;
82555700;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 4.059,00;Emitida -;;;;;-;
82558125;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 696,20;Emitida -;;;;;-;
82560790;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 3.250,80;Emitida -;;;;;-;
82583526;Crédito Enviado;Cartão BMG Card;37400;DOC E;R$ 12.513,20;Emitida -;;;;;-;
82623096;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 249,26;Emitida -;;;;;-;
82629596;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 285,73;Emitida -;;;;;Cancelado na Consistencia;
82635030;Crédito Enviado;Cartão BMG Card;37400;DOC E;R$ 2.173,50;Emitida -;;;;;-;
82647374;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 242,93;Emitida -;;;;;-;
82649121;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.167,00;Emitida -;;;;;-;
82651048;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 233,63;Emitida -;;;;;-;
82687204;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 3.561,60;Emitida -;;;;;-;
82693442;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 451,76;Emitida -;;;;;Cancelado na Consistencia;
82700409;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.800,00;Emitida -;;;;;-;
82708651;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.689,80;Emitida -;;;;;Cancelado na Consistencia;
82714586;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 6.000,00;Emitida -;;;;;-;
82715015;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 600,00;Emitida -;;;;;Cancelado na Consistencia;
82717072;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 3.299,00;Emitida -;;;;;-;
82717667;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 9.716,70;Emitida -;;;;;-;
82735917;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.888,00;Emitida -;;;;;-;
82741470;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82753603;Crédito Enviado;Cartão BMG Card;37400;DOC E;R$ 3.234,70;Emitida -;;;;;Cancelado na Consistencia;
82761376;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.165,10;Emitida -;;;;;-;
82767776;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.100,00;Emitida -;;;;;Cancelado na Consistencia;
82769372;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.264,50;Emitida -;;;;;-;
82769928;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.000,00;Emitida -;;;;;-;
